City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,79.77,few clouds,-9.8,-139.0333,Villa Enata
3,Biak,ID,82.67,overcast clouds,-0.9131,122.8766,Penginapan Kim
8,Kapaa,US,78.78,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Airai,TL,75.33,scattered clouds,-8.9266,125.4092,
11,Hilo,US,73.13,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
17,Gamba,GA,74.52,overcast clouds,-2.65,10.0,
20,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
21,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
22,Altamira,BR,72.25,overcast clouds,-3.2033,-52.2064,Requinte Hotel
26,Hithadhoo,MV,83.61,few clouds,-0.6,73.0833,Scoop Guest House
29,Rikitea,PF,75.74,few clouds,-23.1203,-134.9692,People ThankYou
30,Aswan,EG,82.06,overcast clouds,24.0934,32.907,Nuba Nile
31,Port Augusta,AU,76.66,clear sky,-32.5,137.7667,Majestic Oasis Apartments
33,Japura,ID,92.26,moderate rain,-0.3167,102.35,Rumah mbah Jamah
35,Sao Jose Da Coroa Grande,BR,77.47,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
36,Ogaminana,NG,74.23,overcast clouds,7.5946,6.2248,Billy Guest Inn
37,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
41,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Moindou,NC,84.31,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
46,Les Cayes,HT,74.48,scattered clouds,18.2,-73.75,Villa Orphee
50,Xuddur,SO,79.14,overcast clouds,4.1213,43.8894,Banjanay Hotel
51,San,ML,82.94,clear sky,13.3034,-4.8956,Hôtel Teriya
55,Bengkulu,ID,84.85,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
56,Arraial Do Cabo,BR,76.23,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
61,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
63,Qurayyat,SA,72.66,overcast clouds,31.3318,37.3428,Resorts Kandel
65,Tabas,IR,78.12,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
66,Dire Dawa,ET,77.16,overcast clouds,9.5931,41.8661,Samrat Hotel
68,Biltine,TD,77.74,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
71,Nargana,PA,79.66,overcast clouds,9.4428,-78.5906,Dubbir
74,Conceicao Do Araguaia,BR,72.39,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
