City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,79.77,75,20,18.86,few clouds
1,Pitea,SE,65.3172,21.4794,23.09,85,99,3.0,overcast clouds
2,Busselton,AU,-33.65,115.3333,69.33,83,91,18.9,overcast clouds
3,Biak,ID,-0.9131,122.8766,82.67,73,98,2.77,overcast clouds
4,Birobidzhan,RU,48.8,132.95,45.39,71,29,8.63,scattered clouds
5,Ornskoldsvik,SE,63.2909,18.7153,27.55,80,75,10.36,broken clouds
6,Hobart,AU,-42.8794,147.3294,63.27,74,75,9.22,light rain
7,Camana,PE,-16.6228,-72.7111,68.47,88,23,6.98,few clouds
8,Kapaa,US,22.0752,-159.319,78.78,92,75,26.46,heavy intensity rain
9,Bredasdorp,ZA,-34.5322,20.0403,58.15,87,32,1.92,scattered clouds
10,Airai,TL,-8.9266,125.4092,75.33,48,32,2.19,scattered clouds
11,Hilo,US,19.7297,-155.09,73.13,88,75,5.75,moderate rain
12,Ushuaia,AR,-54.8,-68.3,38.86,81,40,6.91,scattered clouds
13,Vanavara,RU,60.34,102.2797,22.06,72,97,12.62,overcast clouds
14,Santa Maria,BR,-29.6842,-53.8069,61.59,89,77,6.17,moderate rain
15,Zyryanka,RU,65.75,150.85,7.16,72,93,4.09,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,24.16,clear sky
17,Gamba,GA,-2.65,10.0,74.52,95,91,4.43,overcast clouds
18,Provideniya,RU,64.3833,-173.3,12.29,68,0,10.02,clear sky
19,Mataura,NZ,-46.1927,168.8643,59.31,69,37,6.42,scattered clouds
20,Avarua,CK,-21.2078,-159.775,80.65,83,78,2.3,broken clouds
21,Butaritari,KI,3.0707,172.7902,82.04,77,23,15.95,light rain
22,Altamira,BR,-3.2033,-52.2064,72.25,99,96,1.7,overcast clouds
23,Leningradskiy,RU,69.3833,178.4167,-4.9,96,99,10.85,overcast clouds
24,Kaitangata,NZ,-46.2817,169.8464,62.17,61,87,7.99,overcast clouds
25,Clyde River,CA,70.4692,-68.5914,8.83,92,100,4.61,overcast clouds
26,Hithadhoo,MV,-0.6,73.0833,83.61,68,11,5.35,few clouds
27,Burgeo,CA,47.6167,-57.6152,34.39,90,100,22.39,overcast clouds
28,Puerto Del Rosario,ES,28.5004,-13.8627,58.75,72,0,1.14,clear sky
29,Rikitea,PF,-23.1203,-134.9692,75.74,60,15,7.63,few clouds
30,Aswan,EG,24.0934,32.907,82.06,16,95,5.75,overcast clouds
31,Port Augusta,AU,-32.5,137.7667,76.66,28,5,5.91,clear sky
32,Leticia,CO,-4.2153,-69.9406,69.85,100,100,0.0,overcast clouds
33,Japura,ID,-0.3167,102.35,92.26,51,41,2.91,moderate rain
34,Ponta Do Sol,PT,32.6667,-17.1,62.01,82,99,11.54,overcast clouds
35,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.47,84,20,5.82,few clouds
36,Ogaminana,NG,7.5946,6.2248,74.23,93,95,6.08,overcast clouds
37,Cayenne,GF,4.9333,-52.3333,80.1,1,75,4.0,broken clouds
38,Hermanus,ZA,-34.4187,19.2345,57.79,86,12,9.13,few clouds
39,Te Anau,NZ,-45.4167,167.7167,68.88,47,71,1.07,broken clouds
40,Port Elizabeth,ZA,-33.918,25.5701,65.1,99,100,4.0,light rain
41,Puerto Ayora,EC,-0.7393,-90.3518,76.55,97,25,6.17,scattered clouds
42,Moindou,NC,-21.6924,165.677,84.31,76,92,12.03,overcast clouds
43,Albany,US,42.6001,-73.9662,37.53,69,100,2.37,overcast clouds
44,Sao Desiderio,BR,-12.3633,-44.9733,69.8,53,61,2.13,broken clouds
45,Castro,BR,-24.7911,-50.0119,58.75,96,100,10.47,overcast clouds
46,Les Cayes,HT,18.2,-73.75,74.48,82,35,2.68,scattered clouds
47,Borogontsy,RU,62.6683,131.1683,26.83,83,99,7.85,overcast clouds
48,Narsaq,GL,60.9167,-46.05,35.82,92,100,4.27,overcast clouds
49,Tartagal,AR,-22.5164,-63.8013,58.33,64,7,2.57,clear sky
50,Xuddur,SO,4.1213,43.8894,79.14,61,98,18.19,overcast clouds
51,San,ML,13.3034,-4.8956,82.94,33,7,8.75,clear sky
52,Shieli,KZ,44.1667,66.75,66.87,21,43,5.88,scattered clouds
53,Saint George,US,37.1041,-113.5841,67.62,26,0,1.99,clear sky
54,Simav,TR,39.0882,28.9777,47.23,63,26,11.99,scattered clouds
55,Bengkulu,ID,-3.8004,102.2655,84.85,61,15,8.95,few clouds
56,Arraial Do Cabo,BR,-22.9661,-42.0278,76.23,87,98,7.61,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,61.27,75,0,4.0,clear sky
58,Severo-Kurilsk,RU,50.6789,156.125,30.58,75,100,24.14,overcast clouds
59,Jamestown,US,42.097,-79.2353,34.52,67,100,4.61,overcast clouds
60,Tiksi,RU,71.6872,128.8694,-3.39,95,85,7.76,overcast clouds
61,Georgetown,MY,5.4112,100.3354,89.53,58,20,3.44,few clouds
62,Churapcha,RU,62.0025,132.4325,26.17,81,100,8.01,overcast clouds
63,Qurayyat,SA,31.3318,37.3428,72.66,24,100,7.14,overcast clouds
64,Certeju De Sus,RO,45.9667,22.9667,34.07,87,99,11.3,light snow
65,Tabas,IR,33.5959,56.9244,78.12,10,13,2.68,few clouds
66,Dire Dawa,ET,9.5931,41.8661,77.16,40,98,7.99,overcast clouds
67,Wilmington,US,34.2257,-77.9447,58.86,87,0,0.0,clear sky
68,Biltine,TD,14.5333,20.9167,77.74,12,2,10.38,clear sky
69,Upernavik,GL,72.7868,-56.1549,7.14,96,92,10.94,overcast clouds
70,Shimoda,JP,34.6667,138.95,50.36,87,99,16.51,light rain
71,Nargana,PA,9.4428,-78.5906,79.66,88,100,6.29,overcast clouds
72,Mattawa,US,46.7379,-119.9028,50.02,51,26,11.01,scattered clouds
73,Akdagmadeni,TR,39.6603,35.8836,49.15,47,21,9.31,few clouds
74,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.39,94,97,1.41,overcast clouds
75,Pisco,PE,-13.7,-76.2167,66.25,82,40,4.61,scattered clouds
76,Cherskiy,RU,68.75,161.3,2.95,87,72,6.26,broken clouds
77,Vaini,TO,-21.2,-175.2,82.56,78,75,2.3,broken clouds
78,Victoria,HK,22.2855,114.1577,75.96,37,25,8.99,scattered clouds
79,Yellowknife,CA,62.456,-114.3525,3.72,60,100,9.22,light snow
80,Talcahuano,CL,-36.7167,-73.1167,51.48,87,0,6.91,clear sky
81,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.37,99,59,1.74,broken clouds
82,Muros,ES,42.7762,-9.0603,42.1,78,2,11.32,clear sky
83,Avera,US,33.194,-82.5271,51.31,67,0,6.02,clear sky
84,Lakes Entrance,AU,-37.8811,147.981,60.17,96,100,16.53,heavy intensity rain
85,Namibe,AO,-15.1961,12.1522,70.65,87,100,6.24,overcast clouds
86,Nikolskoye,RU,59.7035,30.7861,27.88,84,5,3.33,clear sky
87,Obihiro,JP,42.9172,143.2044,49.82,45,2,10.04,clear sky
88,Sitka,US,57.0531,-135.33,39.09,70,75,16.11,broken clouds
89,Itoman,JP,26.1247,127.6694,64.78,92,75,12.66,light rain
90,Khatanga,RU,71.9667,102.5,-0.65,92,100,8.7,overcast clouds
